id_user,id_place,place_ratings
1,5,5
1,12,3
1,18,3
1,25,5
1,2,3
1,3,4
1,17,4
1,27,5
1,23,4
1,15,4
1,8,5
1,7,3
1,26,5
1,10,3
1,16,5
1,20,5
1,19,4
1,6,4
1,9,3
1,14,3
2,5,4
2,12,3
2,14,4
2,8,5
2,27,4
2,3,3
2,22,5
2,25,5
2,7,4
2,10,3
2,15,4
2,16,4
2,24,5
2,4,4
2,21,4
2,18,4
2,20,4
2,1,5
2,6,3
2,2,3
3,11,5
3,3,5
3,24,5
3,23,3
3,12,3
3,2,5
3,19,4
3,22,3
3,17,3
3,5,3
3,15,3
3,27,4
3,4,3
3,1,4
3,10,3
3,26,4
3,14,5
3,13,3
3,21,4
3,6,3
3,25,3
4,9,3
4,5,3
4,7,4
4,3,4
4,4,3
4,21,5
4,27,3
4,6,3
4,22,4
4,24,3
4,16,5
4,14,4
4,11,3
4,23,5
4,17,3
4,13,5
4,12,5
4,20,3
4,15,3
4,18,5
5,15,3
5,12,3
5,8,5
5,14,4
5,16,4
5,11,3
5,23,5
5,13,5
5,24,4
5,5,5
5,27,3
5,25,5
5,20,3
5,1,3
5,3,3
5,17,3
5,18,5
5,26,5
5,19,3
5,4,4
5,2,4
5,7,3
5,10,4
5,21,4
6,21,4
6,11,4
6,24,5
6,7,5
6,22,3
6,9,3
6,12,4
6,13,5
6,17,4
6,1,5
6,10,4
6,8,5
6,27,5
6,3,5
6,19,4
6,25,5
6,23,4
6,20,4
7,27,5
7,26,3
7,15,3
7,6,3
7,13,5
7,11,5
7,1,4
7,21,5
7,3,4
7,19,4
7,7,3
7,5,3
7,10,5
7,22,4
7,14,5
7,9,5
7,8,3
7,16,3
8,3,3
8,20,5
8,26,5
8,19,4
8,7,4
8,18,5
8,9,4
8,6,3
8,10,4
8,11,5
8,1,5
8,12,3
8,21,3
8,14,4
9,21,3
9,6,4
9,14,4
9,23,4
9,27,3
9,20,5
9,16,3
9,26,5
9,17,4
9,22,4
9,25,4
9,9,3
9,11,3
9,8,5
9,1,3
9,12,3
9,3,3
9,4,4
9,10,4
9,2,4
9,13,4
9,5,3
9,24,4
9,18,5
10,27,4
10,26,4
10,24,4
10,11,5
10,12,5
10,5,5
10,14,4
10,7,5
10,17,3
10,20,3
10,23,3
10,6,4
10,16,3
10,21,4
11,10,4
11,13,3
11,15,5
11,22,4
11,3,3
11,26,3
11,17,3
11,1,4
11,6,3
11,16,5
11,27,5
11,5,3
11,18,4
11,7,4
12,13,3
12,22,3
12,19,5
12,23,4
12,1,5
12,18,4
12,20,4
12,11,5
12,25,4
12,16,5
12,6,5
12,8,3
12,4,5
12,15,3
12,14,4
12,5,4
12,3,4
13,5,4
13,4,4
13,3,4
13,1,5
13,24,4
13,8,5
13,2,4
13,21,5
13,20,4
13,22,5
13,10,4
13,26,4
13,16,5
13,9,4
13,13,4
13,14,3
13,6,4
13,15,5
13,25,4
13,17,4
13,11,4
13,12,3
13,19,3
13,27,5
13,23,4
14,5,3
14,7,3
14,9,4
14,21,5
14,8,3
14,26,3
14,18,5
14,23,3
14,24,4
14,16,4
14,10,4
14,27,5
14,4,4
14,6,4
14,13,5
14,20,4
15,17,3
15,6,5
15,12,3
15,11,5
15,16,3
15,24,4
15,10,3
15,19,4
15,27,5
15,25,4
15,4,4
15,26,4
15,18,3
15,7,4
15,22,3
15,21,4
15,1,4
15,14,3
16,12,4
16,27,4
16,9,4
16,17,3
16,3,3
16,10,4
16,19,4
16,20,5
16,11,4
16,6,5
16,24,3
16,23,4
16,16,4
16,25,4
16,5,5
17,16,4
17,1,5
17,8,4
17,7,5
17,25,4
17,13,3
17,3,4
17,17,5
17,19,4
17,12,3
17,18,4
17,24,5
17,4,4
17,27,4
17,6,3
17,11,4
17,15,4
17,22,4
17,5,3
17,14,4
17,20,4
17,2,4
17,26,3
18,14,4
18,12,4
18,3,4
18,27,4
18,5,4
18,16,4
18,8,3
18,23,4
18,26,4
18,10,4
